p_name,Address,Response_Address,x,y,dist_MRT,station
30創富,臺北市萬華區菜園里12鄰康定路84號,臺北市萬華區菜園里12鄰康定路84號,121.50223,25.041989,472.65123600094535,龍山寺Longshan Temple
55TIMELESS,臺北市信義區安康里9鄰信義路五段57號,臺北市信義區安康里9鄰信義路五段57號,121.569432,25.033321,32.7625228771529,象山Xiangshan
BR4,臺北士林區舊佳里文林路584號,臺北市士林區舊佳里22鄰文林路582號,121.523874,25.098205,320.21639528604925,芝山Zhishan
ForestPark吉美富徠,臺北市內湖區江南街65巷25號之1,臺北市內湖區港墘里5鄰江南街65巷25之1號,121.578142,25.077096,380.7819736731109,港墘Gangqian
H24雲端,臺北市中山區正守里12鄰長安東路一段52巷10號,臺北市中山區正守里12鄰長安東路一段52巷10號,121.527835,25.047751,541.93186150214,善導寺Shandao Temple
JR羅斯福,臺北市文山區景行里22鄰景後街143巷12號,臺北市文山區景行里22鄰景後街143巷12號,121.542614,24.990286,247.87727150133435,景美Jingmei
LIVINGMORE,臺北市大安區仁愛里1鄰復興南路一段175號,臺北市大安區仁愛里1鄰復興南路一段175號,121.54398,25.040911,48.01527335068836,忠孝復興Zhongxiao Fuxing
LivingMore,臺北市大安區龍生里11鄰瑞安街155巷11號,臺北市大安區龍生里11鄰瑞安街155巷11號,121.539548,25.026071,432.44847733134617,科技大樓Technology Building
MAGNOLIA木蘭居B座,臺北市北投區八仙里4鄰中央南路二段14之2號,臺北市北投區八仙里4鄰中央南路二段14之2號,121.50022,25.126902,130.4016342283066,奇岩Qiyan
MAGNOLIA木蘭居C座,臺北市文山區萬盛街89號,臺北市文山區萬盛里12鄰萬盛街89號,121.542631,25.005586,453.4470463305058,萬隆Wanlong
ONE+,臺北市中山區中山里4鄰中山北路二段59巷1號,臺北市中山區中山里4鄰中山北路二段59巷1號,121.523176,25.055916,303.9668484991047,雙連Shuanglian
THEGREENHOUSE,臺北市中山區中山里4鄰中山北路二段59巷9號,臺北市中山區中山里4鄰中山北路二段59巷9號,121.523621,25.055907,350.7270084247091,雙連Shuanglian
TWINLINE,臺北市北投區永欣里6鄰天母西路117巷32弄5號,臺北市北投區永欣里6鄰天母西路117巷32弄5號,121.524705,25.120536,905.2377193632666,明德Mingde
Vigorlin東門,臺北市北投區永欣里6鄰天母西路117巷32弄8號,臺北市北投區永欣里6鄰天母西路117巷32弄8號,121.524272,25.120018,849.7616135626953,明德Mingde
一心居,臺北市內湖區明湖里10鄰康寧路三段187號,臺北市內湖區明湖里10鄰康寧路三段187號,121.611974,25.06997,174.73403229741214,東湖Donghu
一方璞真,臺北市中山區中山北路三段53號,臺北市中山區圓山里13鄰中山北路三段53號,121.522891,25.067716,373.87294906658735,圓山Yuanshan
一樹巷,臺北市中山區力行里19鄰遼寧街105巷36號,臺北市中山區力行里19鄰遼寧街105巷36號,121.543064,25.051079,127.6381440362738,南京復興Nanjing Fuxing
一豐洲,臺北市中正區文祥里14鄰信義路二段79巷32號,臺北市中正區文祥里14鄰信義路二段79巷32號,121.526984,25.035976,231.0988502759107,東門Dongmen
一青。悠,臺北市北投區中和里2鄰中和街391巷2弄9號,臺北市北投區中和里2鄰中和街391巷2弄9號,121.497879,25.142645,614.4887132294305,新北投Xinbeitou
一頁城中,臺北市松山區中正里8鄰敦化北路4巷25弄18號,臺北市松山區中正里8鄰敦化北路4巷25弄18號,121.546289,25.049724,294.8749168506963,南京復興Nanjing Fuxing
三創爵鼎,臺北市北投區中和里10鄰大屯路7巷11之1號,臺北市北投區中和里10鄰大屯路7巷11之1號,121.499598,25.142325,452.1458831425176,新北投Xinbeitou
三悉-磊若,臺北市北投區奇岩里8鄰奇岩路210號,臺北市北投區奇岩里8鄰奇岩路210號,121.508644,25.128347,509.34616637054273,唭哩岸Qilian
三悉-風昀,臺北市北投區溫泉里19鄰溫泉路68之10號,臺北市北投區溫泉里19鄰溫泉路68之10號,121.504909,25.134969,288.09839972296464,新北投Xinbeitou
三發景悅,臺北市中正區光復里8鄰衡陽路69號,臺北市中正區光復里8鄰衡陽路69號,121.511767,25.042377,385.54018321194474,西門Ximen
三磐舍紫II,臺北市大安區民輝里19鄰市民大道三段118號,臺北市大安區民輝里19鄰市民大道三段118號,121.533959,25.044947,190.8917631350106,忠孝新生Zhongxiao Xinsheng
三豐AIT,臺北市中山區樂群二路66號,臺北市中山區成功里14鄰樂群二路66號,121.554073,25.07973,342.6318977825401,劍南路Jiannan Rd.
三豐長安匯,臺北市中山區樂群二路66號,臺北市中山區成功里14鄰樂群二路66號,121.554073,25.07973,342.6318977825401,劍南路Jiannan Rd.
三豐雲迪,臺北市北投區奇岩路237號,臺北市北投區奇岩里22鄰奇岩路237號,121.509946,25.127903,579.3654960977229,唭哩岸Qilian
上城若水,臺北市士林區社中街335號,臺北市士林區永倫里4鄰社中街335號,121.504414,25.092191,1520.5929959844366,三重國小Sanchong Elementary School
世心玉,臺北市內湖區紫雲里3鄰康寧路一段179號,臺北市內湖區紫雲里3鄰康寧路一段179號,121.595763,25.078519,335.3120715073292,內湖Neihu
世田安,臺北市大同區大有里18鄰民生西路367號,臺北市大同區大有里18鄰民生西路367號,121.510486,25.057005,434.32461816918425,北門Beimen
世界明珠,臺北市大同區大有里19鄰歸綏街208之1號,臺北市大同區大有里19鄰歸綏街208之1號,121.511036,25.058192,348.8323858509449,大橋頭Daqiaotou
世豐是山,臺北市中山區正守里1鄰市民大道三段5號,臺北市中山區正守里1鄰市民大道三段5號,121.53127,25.04613,284.98809834586274,忠孝新生Zhongxiao Xinsheng
世達懿居,臺北市中山區正守里10鄰長安東路一段24之3號,臺北市中山區正守里10鄰長安東路一段24之3號,121.525688,25.048781,359.16452303207524,善導寺Shandao Temple
中國開發內湖洲子街廠辦大樓案,臺北市中山區朱園里15鄰松江路45巷10號,臺北市中山區朱園里15鄰松江路45巷10號,121.533591,25.047889,246.7094982132409,松江南京Songjiang Nanjing
中山Q1,臺北市南港區東明里2鄰南港路二段59號,臺北市南港區東明里2鄰南港路二段59號,121.598849,25.053477,644.9735336277631,昆陽Kunyang
中山TED,臺北市北投區磺港路102-110號,臺北市北投區清江里5鄰磺港路102號,121.503496,25.130416,388.56652559575264,奇岩Qiyan
中山世紀,臺北市中正區和平西路一段63號,臺北市中正區南福里10鄰和平西路一段63號,121.519127,25.026602,368.69126155138486,中正紀念堂Chiang Kai-Shek Memorial Hall
中山北美,臺北市內湖區洲子街176號,臺北市內湖區西湖里13鄰洲子街176號,121.567468,25.081257,58.3457039702226,西湖Xihu
中山官邸,臺北市中山區恆安里7鄰民權東路一段61之1號,臺北市中山區恆安里7鄰民權東路一段61之1號,121.525052,25.062902,152.48378844833584,中山國小Zhongshan Elementary School
中山富寓,臺北市中山區民安里11鄰中山北路二段24之3號,臺北市中山區民安里11鄰中山北路二段24之3號,121.522358,25.053919,230.07898683670902,中山Zhongshan
中山富御,臺北市中山區中山北路二段123號,臺北市中山區聚葉里1鄰中山北路二段123號,121.523172,25.061208,345.2862318639506,雙連Shuanglian
中山晶綻,臺北市士林區福志里19鄰中山北路五段698巷18號,臺北市士林區福志里19鄰中山北路五段698巷18號,121.52831,25.097449,324.4752179588935,士林Shilin
中山松悅,臺北市中山區恆安里2鄰民權東路一段15號,臺北市中山區恆安里2鄰民權東路一段15號,121.523436,25.06298,332.1109975938572,中山國小Zhongshan Elementary School
中山水美,臺北市中山區新生里14鄰新生北路二段149巷32號,臺北市中山區新生里14鄰新生北路二段149巷32號,121.528676,25.061997,254.21809440131244,中山國小Zhongshan Elementary School
中山直美,臺北市中山區恆安里1鄰中山北路二段175號,臺北市中山區恆安里1鄰中山北路二段175號,121.522769,25.063071,383.63269672475457,民權西路Minquan W. Rd.
中山簡美,臺北市中山區民安里3鄰長安西路46號,臺北市中山區民安里3鄰長安西路46號,121.520284,25.050049,153.70801160685355,中山Zhongshan
中山隱,臺北市中山區長安西路19巷22弄18號,臺北市中山區民安里7鄰長安西路19巷22弄18號,121.520832,25.051171,100.69836529595243,中山Zhongshan
中山鴻鼎,臺北市大同區雙連里12鄰雙連街8號,臺北市大同區雙連里12鄰雙連街8號,121.51903,25.058022,178.02578772359786,雙連Shuanglian
中山麗池,臺北市中山區新生北路二段76巷10號,臺北市中山區中山里15鄰新生北路二段76巷10號,121.526979,25.057448,311.31125696341763,中山國小Zhongshan Elementary School
中山．吉美,臺北市中山區中山北路二段108號,臺北市中山區集英里7鄰中山北路二段108號,121.522739,25.06049,281.98665151422307,雙連Shuanglian
中工耘翠,臺北市中山區雙城街25巷13號,臺北市中山區晴光里10鄰雙城街25巷15號,121.525346,25.066258,239.11241031940182,中山國小Zhongshan Elementary School
中星仁愛旭,臺北市中山區集英里7鄰中山北路二段98號,臺北市中山區集英里7鄰中山北路二段98號,121.522707,25.059882,260.90739622872275,雙連Shuanglian
中正H25,臺北市中山區中山里18鄰新生北路二段68巷15號,臺北市中山區中山里18鄰新生北路二段68巷15號,121.526148,25.05649,361.9736408529461,中山國小Zhongshan Elementary School
中正城閱.,臺北市中山區聚盛里5鄰錦州街30巷9號,臺北市中山區聚盛里5鄰錦州街30巷9號,121.524874,25.05956,250.4326946955412,中山國小Zhongshan Elementary School
中正沂凰,臺北市松山區鵬程里15鄰健康路325巷25弄2號,臺北市松山區鵬程里15鄰健康路325巷25弄2號,121.566997,25.056398,375.63320144404605,南京三民Nanjing Sanmin
中正藏璽,臺北市中正區東門里13鄰紹興南街28之2號,臺北市中正區東門里13鄰紹興南街28之2號,121.523166,25.038001,396.6418823539986,善導寺Shandao Temple
中正雋詠,臺北市中正區幸福里14鄰齊東街70巷17號,臺北市中正區幸福里14鄰齊東街70巷17號,121.527844,25.042862,527.9577779715512,善導寺Shandao Temple
中正首賦,臺北市萬華區雙園里17鄰莒光路347巷32號,臺北市萬華區雙園里17鄰莒光路347巷32號,121.496905,25.030076,443.7355063254143,龍山寺Longshan Temple
中正鼎站,臺北市中正區臨沂街32巷2號,臺北市中正區文北里24鄰臨沂街32巷2號,121.529531,25.039657,349.12617791445996,東門Dongmen
中瑋吾年,臺北市中正區南福里23鄰羅斯福路一段58巷28之2號,臺北市中正區南福里23鄰羅斯福路一段58巷28之2號,121.518429,25.030504,130.54104652840795,中正紀念堂Chiang Kai-Shek Memorial Hall
中研苑士,臺北市中正區網溪里21鄰廈門街99巷6之1號,臺北市中正區網溪里21鄰廈門街99巷6之1號,121.518029,25.023695,525.8226750876909,中正紀念堂Chiang Kai-Shek Memorial Hall
中研首席,臺北市中正區新營里7鄰愛國東路88號,臺北市中正區新營里7鄰愛國東路88號,121.519968,25.033351,192.23992440364918,中正紀念堂Chiang Kai-Shek Memorial Hall
丰景,臺北市中正區同安街65號,臺北市中正區河堤里1鄰同安街65號,121.521562,25.023813,207.66457970058886,古亭Guting
丹棠MORI,臺北市南港區重陽里10鄰重陽路39巷66之5號,臺北市南港區重陽里10鄰重陽路39巷66之5號,121.594789,25.056217,375.5524369866527,昆陽Kunyang
久云嘉潤日出,臺北市南港區舊莊里16鄰南深路23巷19號,臺北市南港區舊莊里16鄰南深路23巷19號,121.621899,25.037696,1136.2364254255824,南港展覽館Taipei Nangang Exhibition Center
久年慕舍,臺北市南港區中研里7鄰福山街44巷9號,臺北市南港區中研里7鄰福山街44巷9號,121.61708,25.045342,581.6624656790515,南港展覽館Taipei Nangang Exhibition Center
久年銀座,臺北市文山區景華里2鄰羅斯福路六段305號,臺北市文山區景華里2鄰羅斯福路六段305號,121.541372,24.994115,143.7431011232044,景美Jingmei
久年長慶,臺北市中山區中山北路一段83巷12號,臺北市中山區正得里7鄰中山北路一段83巷12號,121.522824,25.050262,304.9132095255456,中山Zhongshan
久康青沺,臺北市南港區向陽路196巷1號,臺北市南港區重陽里14鄰向陽路196巷1號,121.593934,25.056674,369.4307732407693,昆陽Kunyang
亞伯信義雅晑,臺北市萬華區仁德里1鄰昆明街181號,臺北市萬華區仁德里1鄰昆明街181號,121.504212,25.039487,479.3870286327467,西門Ximen
亞昕敦南,臺北市大安區龍安里12鄰和平東路一段167號,臺北市大安區龍安里12鄰和平東路一段167號,121.531718,25.026536,519.6144526604754,台電大樓Taipower Building
京之硯,臺北市大同區建功里15鄰重慶北路一段67號,臺北市大同區建功里15鄰重慶北路一段67號,121.514141,25.051815,195.97319941447404,台北車站Taipei Main Station
京王,臺北市文山區木柵里7鄰木柵路三段85巷8弄1號,臺北市文山區木柵里7鄰木柵路三段85巷8弄1號,121.567479,24.989566,529.5585674316142,萬芳社區Wanfang Community
令和,臺北市信義區興雅里23鄰永吉路30巷157弄19號,臺北市信義區興雅里23鄰永吉路30巷157弄19號,121.569519,25.042366,482.1814581393474,市政府Taipei City Hall
仰士林,臺北市大安區臥龍里3鄰敦南街88號,臺北市大安區臥龍里3鄰敦南街88號,121.547604,25.020962,552.1825911515859,科技大樓Technology Building
仰山,臺北市大同區酒泉街124號,臺北市大同區鄰江里26鄰酒泉街124號,121.512929,25.071984,507.8069925974329,大橋頭Daqiaotou
伊邸,臺北市大同區建明里8鄰長安西路138之3號,臺北市大同區建明里8鄰長安西路138之3號,121.517441,25.050685,257.706312848953,台北車站Taipei Main Station
佳元松江,臺北市北投區奇岩里1鄰公舘路92巷1弄19號,臺北市北投區奇岩里1鄰公舘路92巷1弄19號,121.504741,25.129894,475.91361108203006,奇岩Qiyan
佳元當代美術館,臺北市士林區前港里7鄰後港街134巷40號,臺北市士林區前港里7鄰後港街134巷40號,121.520276,25.08678,545.3463232277475,劍潭Jiantan
佳元臨沂,臺北市內湖區葫洲里4鄰民權東路六段280巷17號,臺北市內湖區葫洲里4鄰民權東路六段280巷17號,121.605327,25.071784,210.4940314088897,葫洲Huzhou
信松廣場,臺北市松山區復興北路501號,臺北市松山區民福里1鄰復興北路509號,121.544479,25.065684,282.6567133764477,中山國中Zhongshan Junior High School
信義CASA,臺北市中山區中庄里20鄰民生東路二段127巷23號,臺北市中山區中庄里20鄰民生東路二段127巷23號,121.532308,25.059809,97.66143304438273,行天宮Xingtian Temple
信義Joyce,臺北市中山區民生東路二段25號,臺北市中山區中庄里1鄰民生東路二段25號,121.528589,25.058149,357.85428800483834,中山國小Zhongshan Elementary School
信義THE1,臺北市中正區幸市里4鄰臨沂街25巷4號,臺北市中正區幸市里4鄰臨沂街25巷4號,121.530652,25.041478,255.67205619790008,忠孝新生Zhongxiao Xinsheng
信義VS復興,臺北市信義區松隆路231號,臺北市信義區四育里1鄰松隆路231號,121.577008,25.048297,131.40261670117107,松山Songshan
信義WOW,臺北市信義區惠安里17鄰吳興街524巷20號,臺北市信義區惠安里17鄰吳興街524巷20號,121.568123,25.022203,639.3802899869311,象山Xiangshan
信義一品,臺北市信義區市民大道六段108號,臺北市信義區雅祥里19鄰市民大道六段108號,121.57254,25.049133,577.2887446876894,松山Songshan
信義之森,臺北市信義區長春里12鄰忠孝東路五段423巷26號,臺北市信義區長春里12鄰忠孝東路五段423巷26號,121.575447,25.042358,128.32351570527274,永春Yongchun
信義大悅,臺北市大安區仁慈里5鄰信義路四段19巷6之3號,臺北市大安區仁慈里5鄰信義路四段19巷6之3號,121.544368,25.033985,109.21188828826011,大安Daan
信義好境,臺北市信義區敦厚里6鄰松隆路9巷30弄13號,臺北市信義區敦厚里6鄰松隆路9巷30弄13號,121.567804,25.044429,343.52913564204874,市政府Taipei City Hall
信義御邸,臺北市信義區中行里29鄰中坡南路201巷18號,臺北市信義區中行里29鄰中坡南路201巷18號,121.586504,25.041398,491.3379491181151,後山埤Houshanpi
信義藏豐,臺北市信義區黎順里3鄰信安街103巷5號,臺北市信義區黎順里3鄰信安街103巷5號,121.556826,25.025303,422.0906137480577,六張犁Liuzhangli
信義謙石,臺北市信義區東興路63號,臺北市信義區新仁里19鄰東興路63號,121.566987,25.047318,357.5757499949853,南京三民Nanjing Sanmin
信義陶山,臺北市南港區成福里18鄰成福路121巷9號,臺北市南港區成福里18鄰成福路121巷9號,121.587902,25.042099,622.5077498143479,後山埤Houshanpi
信義香禔,臺北市大安區光明里3鄰信義路二段66號,臺北市大安區光明里3鄰信義路二段66號,121.526079,25.034372,297.34954755132134,東門Dongmen
信義麗心,臺北市信義區景勤里3鄰吳興街190巷10之1號,臺北市信義區景勤里3鄰吳興街190巷10之1號,121.562151,25.028178,313.4189340733869,台北101/世貿Taipei 101/World Trade Center
僑駿ONARI,臺北市士林區天玉里5鄰天母北路9巷8號,臺北市士林區天玉里5鄰天母北路9巷8號,121.526872,25.119049,1044.1084594731212,明德Mingde
元利信義聯勤-北棟,臺北市大安區光明里2鄰杭州南路二段25巷25號,臺北市大安區光明里2鄰杭州南路二段25巷25號,121.524794,25.033484,439.1714459527288,東門Dongmen
元利信義聯勤-南棟,臺北市信義區泰和里29鄰吳興街600巷100弄20號,臺北市信義區泰和里29鄰吳興街600巷100弄20號,121.572241,25.017479,941.53075965812,象山Xiangshan
元利森活莊園,臺北市信義區敦厚里8鄰松隆路42號,臺北市信義區敦厚里8鄰松隆路42號,121.567978,25.043741,340.4183981550038,市政府Taipei City Hall
光里蘊,臺北市士林區福志里18鄰中山北路五段616號,臺北市士林區福志里18鄰中山北路五段616號,121.527968,25.096468,257.74183988833016,士林Shilin
全坤X101,臺北市大安區龍圖里6鄰建國南路二段57號,臺北市大安區龍圖里6鄰建國南路二段57號,121.538188,25.031783,379.391646983724,大安森林公園Daan Park
全坤威峰,臺北市大安區龍圖里6鄰建國南路二段65號,臺北市大安區龍圖里6鄰建國南路二段65號,121.53819,25.031489,384.19019205067286,大安森林公園Daan Park
全坤富御,臺北市文山區試院里29鄰木柵路一段12之1號,臺北市文山區試院里29鄰木柵路一段12之1號,121.546204,24.986656,582.1029722530743,大坪林Dapinglin
全坤御大安.,臺北市內湖區週美里行善路235號,臺北市內湖區週美里24鄰行善路235號,121.582911,25.06044,834.4222545414918,松山Songshan
全坤御峰,臺北市信義區中興里12鄰信義路四段450巷,臺北市信義區中興里2鄰信義路四段450巷9號,121.558628,25.032278,520.8257326014192,台北101/世貿Taipei 101/World Trade Center
全坤衡峰,臺北市萬華區富福里10鄰大理街1之5號,臺北市萬華區富福里10鄰大理街1之5號,121.503119,25.034603,368.27157879223813,龍山寺Longshan Temple
全盈信義,臺北市中正區螢雪里3鄰重慶南路三段124巷3號,臺北市中正區螢雪里3鄰重慶南路三段124巷3號,121.516394,25.024495,522.1076643480006,中正紀念堂Chiang Kai-Shek Memorial Hall
全陽豐會,臺北市大安區住安里7鄰信義路四段30巷5之1號,臺北市大安區住安里7鄰信義路四段30巷5之1號,121.544715,25.032862,129.51663575359035,大安Daan
全陽馥,臺北市大安區芳和里3鄰樂業街94巷27號,臺北市大安區芳和里3鄰樂業街94巷27號,121.550563,25.020605,338.50919194211417,六張犁Liuzhangli
八德137,臺北市中正區光復里9鄰衡陽路103號,臺北市中正區光復里9鄰衡陽路103號,121.509136,25.042252,93.10258282891868,西門Ximen
八方玥,臺北市信義區大道里7鄰忠孝東路五段790巷22弄17號,臺北市信義區大道里7鄰忠孝東路五段790巷22弄17號,121.582001,25.042366,166.96720136464594,後山埤Houshanpi
公園大院-森活館,臺北市士林區福志里23鄰中山北路五段736號,臺北市士林區福志里23鄰中山北路五段736號,121.527285,25.098927,334.7387288230406,士林Shilin
公園大院-樂活館,臺北市南港區三重里16鄰經貿一路166號,臺北市南港區三重里16鄰經貿一路166號,121.619623,25.057798,277.7267684312801,南港展覽館Taipei Nangang Exhibition Center
公園首席,臺北市中山區朱崙里2鄰八德路二段137巷20號,臺北市中山區朱崙里2鄰八德路二段137巷20號,121.537308,25.04716,548.8817924488875,松江南京Songjiang Nanjing
公園首璽,臺北市南港區南港路一段171巷,臺北市南港區南港里2鄰南港路一段171巷18號,121.613022,25.054565,450.66846715440863,南港軟體園區Nangang Software Park
六德．拾翫,臺北市北投區中庸里1鄰中和街219之1號,臺北市北投區中庸里1鄰中和街219之1號,121.501319,25.139343,194.26787050032695,新北投Xinbeitou
冠德羅斯福,臺北市北投區中庸里1鄰中和街219之1號,臺北市北投區中庸里1鄰中和街219之1號,121.501319,25.139343,194.26787050032695,新北投Xinbeitou
冠輝京品,臺北市大同區雙連里14鄰興城街73之2號,臺北市大同區雙連里14鄰興城街73之2號,121.517713,25.059557,264.2094372973538,民權西路Minquan W. Rd.
力方飛,臺北市文山區順興里17鄰木新路二段218巷11號,臺北市文山區順興里17鄰木新路二段218巷11號,121.567334,24.983961,855.5533361780166,萬芳社區Wanfang Community
力欣百漾,臺北市大安區錦泰里6鄰杭州南路二段61巷11號,臺北市大安區錦泰里6鄰杭州南路二段61巷11號,121.523007,25.030298,229.60247043188167,古亭Guting
力麒天沐,臺北市中正區羅斯福路三段136號,臺北市中正區林興里20鄰羅斯福路三段136號,121.528153,25.020439,16.713128629829015,台電大樓Taipower Building
力麒御品,臺北市萬華區雙園里1鄰艋舺大道194號,臺北市萬華區雙園里3鄰艋舺大道194號,121.499795,25.032561,158.00844789951006,龍山寺Longshan Temple
勝輝馥敦,臺北市北投區福興里3鄰承德路七段32巷3弄,臺北市北投區福興里6鄰承德路七段32巷3弄17號,121.510605,25.111954,570.7368681539164,石牌Shipai
勤美璞真城仰,臺北市中山區林森北路442-1號,臺北市中山區聚葉里13鄰林森北路442之1號,121.525464,25.060642,159.72121671953275,中山國小Zhongshan Elementary School
勤耕延吉,臺北市北投區榮華里1鄰天母西路120巷43號,臺北市北投區榮華里1鄰天母西路120巷43號,121.522654,25.118054,643.2527461376177,明德Mingde
北城‧羅斯福,臺北市萬華區雙園里11鄰莒光路328號,臺北市萬華區雙園里11鄰莒光路328號,121.497495,25.031248,349.36212822233296,龍山寺Longshan Temple
匯泰鴻,臺北市松山區中崙里3鄰復興南路一段47巷9弄9號,臺北市松山區中崙里3鄰復興南路一段47巷9弄9號,121.544613,25.045294,233.03261296840557,忠孝復興Zhongxiao Fuxing
千荷田,臺北市松山區慶城街45號,臺北市松山區松基里16鄰慶城街48號,121.546893,25.055143,360.1200017199731,南京復興Nanjing Fuxing
南京&光北,臺北市松山區復源里6鄰光復南路46巷36號,臺北市松山區復源里6鄰光復南路46巷36號,121.554654,25.045734,433.17699280241936,國父紀念館Sun Yat-Sen Memorial Hall
南京富心,臺北市中正區頂東里3鄰羅斯福路三段74之1號,臺北市中正區頂東里3鄰羅斯福路三段74之1號,121.526256,25.022079,226.71290262719742,台電大樓Taipower Building
南京葒,臺北市中山區中央里12鄰建國北路二段68號,臺北市中山區中央里12鄰建國北路二段68號,121.53646,25.054478,402.7291351781701,松江南京Songjiang Nanjing
南京阿曼,臺北市中正區廈安里8鄰汀州路一段78號,臺北市中正區廈安里8鄰汀州路一段78號,121.506125,25.031126,585.5481826889787,小南門Xiaonanmen
南方莊園,臺北市松山區吉祥里20鄰光復北路85巷23號,臺北市松山區吉祥里20鄰光復北路85巷23號,121.559048,25.050585,555.0662570815988,國父紀念館Sun Yat-Sen Memorial Hall
南海1號苑,臺北市中山區力行里19鄰遼寧街101巷31之2號,臺北市中山區力行里19鄰遼寧街101巷31之2號,121.543334,25.050871,112.9689935687115,南京復興Nanjing Fuxing
南港首善,臺北市中山區興亞里18鄰松江路108巷20之1號,臺北市中山區興亞里18鄰松江路108巷20之1號,121.530739,25.051358,262.54609131849855,松江南京Songjiang Nanjing
南風裡,臺北市中山區力行里28鄰南京東路三段12號,臺北市中山區力行里28鄰南京東路三段12號,121.537436,25.051791,485.09603090310594,松江南京Songjiang Nanjing
博愛賦御,臺北市文山區興光里3鄰興德路47巷25號,臺北市文山區興光里3鄰興德路47巷25號,121.555398,25.001217,312.2633754935287,辛亥Xinhai
印涼州,臺北市中正區忠勤里26鄰南海路83號,臺北市中正區忠勤里26鄰南海路83號,121.508343,25.028877,477.9121118776644,小南門Xiaonanmen
原樹,臺北市南港區重陽路449號,臺北市南港區三重里2鄰重陽路449號,121.610111,25.059439,473.09634338134424,東湖Donghu
原禾呈真,臺北市中正區建國里3鄰愛國西路9號,臺北市中正區建國里3鄰愛國西路9號,121.507831,25.037268,285.09133009441814,西門Ximen
原禾御,臺北市中正區光復里8鄰博愛路109之1號,臺北市中正區光復里8鄰博愛路109之1號,121.511605,25.042558,368.17163269439874,西門Ximen
原禾賦,臺灣臺北市大同區涼州街10號,臺北市大同區延平里3鄰涼州街30號,121.512648,25.060625,153.12362524413228,大橋頭Daqiaotou
友座君碧,臺北市中山區新生里14鄰中原街113號,臺北市中山區新生里14鄰中原街113號,121.529039,25.061886,295.09458785308436,中山國小Zhongshan Elementary School
友座君綻2森鄰,臺北市文山區指南里17鄰指南路三段103號,臺北市文山區指南里17鄰指南路三段103號,121.581052,24.982524,932.3550016893206,動物園Taipei Zoo
友座安森,臺北市北投區大興街、清江路口,臺北市北投區中央里16鄰大興街18號,121.498262,25.129809,125.05274710210549,北投Beitou
友座臻璽,臺北市士林區芝山里8鄰德行東路336號,臺北市士林區芝山里8鄰德行東路336號,121.537728,25.110257,1606.3034935291287,士林Shilin
